"금연구역명",금연구역범위상세,시도명,시군구명,금연구역구분,금연구역지정근거명,금연구역면적,위반과태료,위반신고전화번호,소재지도로명주소,소재지지번주소,관리기관명,위도,경도,데이터기준일자
"오산소방서 원동 119안전센터",건물 및 대지를 포함한 모든지역,경기도,오산시,청사,국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 경기대로 99,경기도 오산시 원동 807-1,경기도 오산시청,37.13362523,127.0722579,2021-08-06
"대원동행정복지센터",건물 및 대지를 포함한 모든지역,경기도,오산시,청사,국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 오산로 132번길 28,경기도 오산시 원동 404-8,경기도 오산시청,37.13861996,127.0717161,2021-08-06
"초평동행정복지센터",건물 및 대지를 포함한 모든지역,경기도,오산시,청사,국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 초평중앙로 77,경기도 오산시 벌음동 277,경기도 오산시청,37.14019445,127.0441034,2021-08-06
"환경사업소",건물 및 대지를 포함한 모든지역,경기도,오산시,청사,국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 오산천로72,경기도 오산시 오산동 750,경기도 오산시청,37.14126173,127.0639341,2021-08-06
"중앙파출소",건물 및 대지를 포함한 모든지역,경기도,오산시,청사,국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 오산로 221,경기도 오산시 오산동 903-4,경기도 오산시청,37.1468242,127.0682176,2021-08-06
"오산경찰서 오산지구대",건물 및 대지를 포함한 모든지역,경기도,오산시,청사,국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 운암로 11,경기도 오산시 원동 813-13,경기도 오산시청,37.14742441,127.0758949,2021-08-06
"오산시청",건물 및 대지를 포함한 모든지역,경기도,오산시,청사,국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 성호대로 141,경기도 오산시 오산동 915,경기도 오산시청,37.14903662,127.0776635,2021-08-06
"중앙동행정복지센터",건물 및 대지를 포함한 모든지역,경기도,오산시,청사,국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 경기대로307,경기도 오산시 오산동 850-1,경기도 오산시청,37.15233882,127.0731252,2021-08-06
"오산소방서 119구조대",건물 및 대지를 포함한 모든지역,경기도,오산시,청사,국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 운암로 77,경기도 오산시 오산동 922-1,경기도 오산시청,37.15314505,127.0766143,2021-08-06
"오산경찰서",건물 및 대지를 포함한 모든지역,경기도,오산시,청사,국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 동부대로 596,경기도 오산시 부산동 398-3,경기도 오산시청,37.15363686,127.0822457,2021-08-06
"남촌동행정복지센터",건물 및 대지를 포함한 모든지역,경기도,오산시,청사,국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 청학로 55-5,경기도 오산시 청학동 16-6,경기도 오산시청,37.15458776,127.0634543,2021-08-06
"오산소방서 청학 119안전센터",건물 및 대지를 포함한 모든지역,경기도,오산시,청사,국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 청학로 55-6,경기도 오산시 청학동 16-6,경기도 오산시청,37.15470736,127.0639083,2021-08-06
"고용복지플러스센터",건물 및 대지를 포함한 모든지역,경기도,오산시,청사,국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 경기동로51,경기도 오산시 오산동 811-37,경기도 오산시청,37.1588828,127.0773162,2021-08-06
"화성등기소",건물 및 대지를 포함한 모든지역,경기도,오산시,청사,국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 법원로 65,경기도 오산시 궐동 662,경기도 오산시청,37.15907505,127.058515,2021-08-06
"오산시법원",건물 및 대지를 포함한 모든지역,경기도,오산시,청사,국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 법원로 65,경기도 오산시 궐동 662,경기도 오산시청,37.15907505,127.058515,2021-08-06
"오산경찰서 궐동 지구대",건물 및 대지를 포함한 모든지역,경기도,오산시,청사,국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 오산로 371,경기도 오산시 궐동 13-7,경기도 오산시청,37.15965599,127.0661684,2021-08-06
"오산소방서",건물 및 대지를 포함한 모든지역,경기도,오산시,청사,국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 문헌공로 30,경기도 오산시 내삼미동 880,경기도 오산시청,37.17530747,127.053823,2021-08-06
"오산소방서 세교 119안전센터",건물 및 대지를 포함한 모든지역,경기도,오산시,청사,국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 문헌공로 30,경기도 오산시 내삼미동 880,경기도 오산시청,37.17530747,127.053823,2021-08-06
"신장동행정복지센터",건물 및 대지를 포함한 모든지역,경기도,오산시,청사,국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 문헌공로45,경기도 오산시 금암동 495-2,경기도 오산시청,37.17664285,127.0545674,2021-08-06
"오산경찰서 세교지구대",건물 및 대지를 포함한 모든지역,경기도,오산시,청사,국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 세마역로 5,경기도 오산시 세교동 617-2,경기도 오산시청,37.18116506,127.0439552,2021-08-06
"경기도화성오산교육지원청",건물 및 대지를 포함한 모든지역,경기도,오산시,청사,국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 북삼미로 119,경기도 오산시 내삼미동 715,경기도 오산시청,37.18587336,127.0618798,2021-08-06
"세마동행정복지센터",건물 및 대지를 포함한 모든지역,경기도,오산시,청사,국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 독산성로419,경기도 오산시 세교동 595-2,경기도 오산시청,37.18830046,127.0408252,2021-08-06
"영일오토메이션(주)",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 청호로 9,경기도 오산시 갈곶동370,경기도 오산시청,37.12807929,127.0803669,2021-08-06
"명품가구백화점",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 경기대로 40,경기도 오산시 갈곶동226-1,경기도 오산시청,37.1285475,127.0704142,2021-08-06
"갈곶목욕탕",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 오산로 18,경기도 오산시 갈곶동205,경기도 오산시청,37.12860358,127.0677364,2021-08-06
"정우빌딩",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 오산로 23,경기도 오산시 갈곶동180,경기도 오산시청,37.12908483,127.0671062,2021-08-06
"신웅빌딩",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 경기대로 53,경기도 오산시 갈곶동259,경기도 오산시청,37.12973993,127.0712268,2021-08-06
"오산자이 상가동",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 동부대로 332-10,경기도 오산시 청호동322,경기도 오산시청,37.13150349,127.0794474,2021-08-06
"연구소",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 남부대로 362번길 38-15,"경기도 오산시 갈곶동 322-5, 외2필지",경기도 오산시청,37.13234686,127.0756295,2021-08-06
"도서관",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 경기대로 102-25,경기도 오산시 원동 481-17,경기도 오산시청,37.13259349,127.0749143,2021-08-06
"대형건물",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 오산로 67-1,"경기도 오산시 갈곶동 112-25, 외1필지",경기도 오산시청,37.13288124,127.0688976,2021-08-06
