,구분,인접주소,위치,위도,경도
0,개방형(꽁초 수거함),남부순환로350길 36,건물입구 앞 전신주 주변,37.4833001,127.0362334
1,개방형(꽁초 수거함),강남대로30길 7,카센터 옆 기존 주차구역,37.4818840,127.0377065
2,개방형(꽁초 수거함),남부순환로 2636,건물 우측 골목(오선채 좌측),37.4849144,127.0390290
3,개방형(꽁초 수거함),바우뫼로 201,블랙야크빌딩 뒤 도로,37.4801105,127.0409156
4,개방형(꽁초 수거함),강남대로 148,건물 앞 녹지 사이 보도,37.4778879,127.0391803
5,개방형(꽁초 수거함),양재천로21길 29,건물 앞 녹지 사이 보도,37.4770152,127.0391667
6,개방형(꽁초 수거함),양재천로21길 3,건물 앞 보도 가각지점,37.4758125,127.0391657
7,개방형(꽁초 수거함),강남대로27길 7-21,건물 앞 횃불어린이공원 경계,37.4782643,127.0380936
8,개방형(꽁초 수거함),양재천로19길 34,건물 앞 녹지 사이 보도,37.4768572,127.0381767
9,개방형(꽁초 수거함),바우뫼로 128,건물 앞 전신주 주변,37.4755252,127.0352113
10,개방형(꽁초 수거함),강남대로 193,서울가정행정법원 청사계단 옆,37.4814503,127.0362001
11,개방형(꽁초 수거함),강남대로 213,엘타워 주차장 입구,37.4827711,127.0349660
12,개방형(꽁초 수거함),강남대로 221,양재역 환승주차장 옆,37.4836886,127.0341274
13,폐쇄형(흡연부스),우면동 723,건물 옆 보도,37.4642418,127.0251980
14,폐쇄형(흡연부스),바우뫼로21길 10,건물 옆 진입로 입구,37.4759000,127.0350346
15,폐쇄형(흡연부스),바우뫼로27길 13,세븐일레븐 편의점 앞,37.4772824,127.0361286
16,폐쇄형(흡연부스),강남대로27길 7-9,느린마을양조장 앞,37.4789527,127.0379711
17,개방형(꽁초 수거함),양재동 261-22,양재천 족구장 흡연구역,37.4761195,127.0417104
18,개방형(꽁초 수거함),마방로10길 25,기업은행 지주간판 도로,37.4766440,127.0443680
19,폐쇄형(흡연부스),논현로 31,빌딩 앞 사거리 가각지점,37.4737067,127.0483162
20,개방형(꽁초 수거함),논현로1길 23,아파트 외부 보도 가각지점,37.4715217,127.0504037
21,개방형(꽁초 수거함),동산로16길 34,건물 앞 가각지점 보도,37.4711430,127.0479141
22,개방형(꽁초 수거함),논현로1길 83,녹지 옆 흡연구역,37.4696606,127.0478279
23,개방형(꽁초 수거함),강남대로8길 77,동산마을 구립주차장 내,37.4700464,127.0443490
24,개방형(꽁초 수거함),강남대로6길 60-23,건물 후면 양재대로변,37.4675924,127.0449264
25,개방형(꽁초 수거함),강남대로4길 5,카센터 앞 보도,37.4668494,127.0424977
26,개방형(꽁초 수거함),강남대로6길 16,건물 앞 녹지사이 보도,37.4672042,127.0420438
27,개방형(꽁초 수거함),강남대로8길 3,건물 앞 보도 끝지점,37.4678435,127.0413349
28,개방형(꽁초 수거함),강남대로10길 21,건물 앞 녹지사이 보도,37.4686119,127.0405062
29,개방형(꽁초 수거함),마방로2길 26,건물 앞 녹지사이 보도,37.4725123,127.0391499
30,개방형(꽁초 수거함),양재동 221-3,건물 앞 녹지사이 보도,37.4604511,127.0350011
31,개방형(꽁초 수거함),논현로 27,소호정 주차장,37.4732607,127.0486969
32,폐쇄형(흡연부스),논현로 71,평가옥 앞,37.4762943,127.0456327
33,개방형(꽁초 수거함),동산로2길 27,한성생고기 앞,37.4687780,127.0426905
34,폐쇄형(흡연부스),양재동 316,띠녹지 안,37.4707341,127.0392691
35,폐쇄형(흡연부스),강남대로 27,AT센터 앞,37.4682596,127.0389985
36,폐쇄형(흡연부스),매헌로16길 32,희경재단 앞 녹지대,37.4663755,127.0359151
37,개방형(꽁초 수거함),양재대로12길 73-48,서초종합체육관 앞,37.4589212,127.0424168
